subject,sender,body
"Meeting Reminder","boss@company.com","Hi team, please attend the meeting at 3 PM."
"Urgent: Financial Report","finance@company.com","Attached is the quarterly report. Please review and approve."
"Harassment Complaint","employee@company.com","I feel uncomfortable with the comments made in the last meeting about my performance."
"Data Sharing","partner@external.com","Sharing customer data as requested. Please handle confidentially."
"Regulatory Update","legal@company.com","New regulations require us to update our policies."
"Secret Merger Plans Leak","executive@company.com","I'm forwarding our confidential merger documents to you. Please share with your contacts for feedback."
"Insider Trading Coordination","trader1@company.com","Let's buy these stocks before the announcement. I have insider information about the upcoming earnings."
"Bribe Payment Confirmation","manager@company.com","The $50,000 bribe has been transferred to the account. Contract secured."
"Discriminatory Hiring Policy","hr@company.com","We only hire candidates from certain ethnic backgrounds. Keep this internal."
"Data Privacy Violation","employee@company.com","I've exported all customer personal data to my personal drive for analysis."
"Market Rigging Scheme","trader2@company.com","We'll manipulate the bid prices to ensure our preferred supplier wins."
"Harassment Incident","supervisor@company.com","The team building exercise will involve inappropriate physical contact. Don't tell compliance."
"Regulatory Evasion","legal@company.com","Let's structure this deal to avoid SEC reporting requirements."
"Vendor Kickback Agreement","procurement@company.com","We'll receive 10% kickback on all purchases from this vendor."
"Unethical Performance Review","boss@company.com","Rate all female employees lower to maintain gender balance in promotions."
"Communication Policy Violation","hr@company.com","From now on, we'll bypass the official channels and communicate directly to avoid oversight."
"Customer Complaint Escalation","customer@support.com","Your company's discriminatory practices are unacceptable. I demand immediate action."
"Unethical Employee Behavior","colleague@company.com","I saw John accepting gifts from vendors in exchange for favorable treatment. This is clearly unethical."
"Team Lunch Planning","manager@company.com","Let's plan our monthly team lunch. Any preferences for cuisine?"
"Project Status Update","projectlead@company.com","The project is on track. We'll meet the deadline next month."
"IT Support Request","user@company.com","My computer is running slow. Can you help fix it?"
"Vacation Approval","hr@company.com","Your vacation request has been approved. Enjoy your time off."
