subject,sender,body
"Meeting Reminder","boss@company.com","Hi team, please attend the meeting at 3 PM."
"Urgent: Financial Report","finance@company.com","Attached is the quarterly report. Please review and approve."
"Harassment Complaint","employee@company.com","I feel uncomfortable with the comments made in the last meeting about my performance."
"Data Sharing","partner@external.com","Sharing customer data as requested. Please handle confidentially."
"Regulatory Update","legal@company.com","New regulations require us to update our policies."
"Confidential Project Details","manager@company.com","I'm sharing our secret merger plans with you. Please keep this completely confidential and don't tell anyone."
"Market Manipulation Scheme","trader@company.com","Let's coordinate with other traders to artificially inflate the stock price through coordinated buying."
"Bribery Offer","sales@company.com","I'll pay you $10,000 under the table if you award us the contract. This stays between us."
"Communication Policy Violation","hr@company.com","From now on, we'll bypass the official channels and communicate directly to avoid oversight."
"Customer Complaint Escalation","customer@support.com","Your company's discriminatory practices are unacceptable. I demand immediate action."
"Unethical Employee Behavior","colleague@company.com","I saw John accepting gifts from vendors in exchange for favorable treatment. This is clearly unethical."
